Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Data collections
NA19678	female	SAME122797	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19680	female	SAME122937	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19685	male	SAME122942	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19654	female	SAME123128	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19717	male	SAME124451	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19724	male	SAME124690	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19729	male	SAME124701	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19731	female	SAME124870	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19748	female	SAME124729	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19750	male	SAME123698	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19755	female	SAME123695	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19659	female	SAME123131	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19661	male	SAME122959	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19762	male	SAME123897	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19774	male	SAME124064	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19658	male	SAME123132	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19660	female	SAME122958	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19665	female	SAME122956	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19672	female	SAME122793	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19649	male	SAME123442	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19651	female	SAME123123	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19723	male	SAME124695	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19719	female	SAME124445	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19728	female	SAME124702	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19721	female	SAME125311	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19657	female	SAME123129	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19730	female	SAME124869	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19664	male	SAME122955	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19735	male	SAME124874	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19779	female	SAME124061	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19669	female	SAME123903	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19781	female	SAME123146	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19671	female	SAME122794	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19786	male	SAME123149	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19679	male	SAME122796	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19741	male	SAME124718	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19716	female	SAME124450	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19681	female	SAME122938	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19675	female	SAME122791	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19746	female	SAME123502	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19686	female	SAME122939	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19682	male	SAME122935	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19753	male	SAME123701	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19722	female	SAME124696	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19653	female	SAME123125	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19656	female	SAME123130	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19727	male	SAME123639	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19648	female	SAME123307	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19663	female	SAME122961	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19734	female	SAME124873	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19650	male	SAME124976	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19670	male	SAME122795	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19652	male	SAME124978	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19718	female	SAME124444	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
